Kanji,Romaji
冷奴,hiyayakko
冬場,fuyuba
真冬,mafuyu
冬休み,fuyuyasumi
凹凸,outotsu
凸凹,dekoboko
凸レンズ,totsurenzu
天丼,tendon
うな丼,unadon
釈迦牟尼,shakamuni
尼寺,amadera
陀羅尼,darani
面白い,omoshiroi
白い,shiroi
面白,omoshiro
半分,hanbun
後半,kouhan
時半,jihan
氾濫,hanran
犯罪,hanzai
犯人,hannin
犯行,hankou
皮膚,hifu
皮肉,hiniku
毛皮,kegawa
必要,hitsuyou
必ず,kanarazu
必死,hisshi
かき氷,kakigoori
氷結,hyouketsu
氷室,koorimuro
付け,tsuke
付き,tsuki
付近,fukin
配布,haifu
布団,futon
財布,saifu
支払い,shiharai
払う,harau
払い,harai
平和,heiwa
平均,heikin
平成,heisei
周辺,shuuhen
辺り,atari
近辺,kinpen
弁当,bentou
弁護士,bengoshi
勘弁,kanben
お母さん,okaasan
母親,hahaoya
祖母,sobo
包丁,houchou
包み,tsutsumi
包括,houkatsu
北海道,hokkaidou
東北,touhoku
北朝鮮,kitachousen
日本,nihon
本当に,hontouni
基本,kihon
端末,tanmatsu
週末,shuumatsu
年末,nenmatsu
未来,mirai
未だに,imadani
未だ,mada
国民,kokumin
市民,shimin
住民,juumin
矛盾,mujun
矛先,hokosaki
目的,mokuteki
目標,mokuhyou
注目,chuumoku
理由,riyuu
自由,jiyuu
経由,keiyu
幼稚園,youchien
幼い,osanai
幼児,youji
利用,riyou
使用,shiyou
用意,youi
立ち,tachi
立場,tachiba
立て,tate
命令,meirei
司令,shirei
指令,shirei
失礼,shitsurei
お礼,orei
礼拝,reihai
扱い,atsukai
扱う,atsukau
取り扱い,toriatsukai
安全,anzen
不安,fuan
安心,anshin
衣装,ishou
浴衣,yukata
衣類,irui
里芋,satoimo
芋虫,imomushi
焼き芋,yakiimo
印象,inshou
印刷,insatsu
封印,fuuin
原因,gen'in
要因,youin
因みに,chinamini
宇宙,uchuu
宇宙船,uchuusen
小宇宙,shouuchuu
羽目,hame
手羽,teba
羽音,haoto
汚染,osen
汚れ,kegare
汚い,kitanai
仮想,kasou
仮に,karini
仮定,katei
今回,konkai
前回,zenkai
次回,jikai
灰色,haiiro
灰皿,haizara
死の灰,shinohai
会社,kaisha
社会,shakai
機会,kikai
各種,kakushu
各地,kakuchi
各国,kakkoku
汗だく,asedaku
冷や汗,hiyaase
発汗,hakkan
缶詰,kanzume
空き缶,akikan
ドラム缶,doramukan
企業,kigyou
企画,kikaku
企て,kuwadate
歌舞伎,kabuki
歌舞伎座,kabukiza
危険,kiken
危機,kiki
危ない,abunai
机上,kijou
文机,fuzukue
気持ち,kimochi
気分,kibun
雰囲気,fun'iki
諭吉,yukichi
吉日,kichijitsu
大吉,daikichi
休み,yasumi
休憩,kyuukei
連休,renkyuu
呼吸,kokyuu
吸収,kyuushuu
吸血鬼,kyuuketsuki
老朽,roukyuu
不朽,fukyuu
脱臼,dakkyuu
石臼,ishiusu
共有,kyouyuu
共通,kyoutsuu
と共に,totomoni
叫び,sakebi
叫ぶ,sakebu
絶叫,zekkyou
信仰,shinkou
仰る,ossharu
仰天,gyouten
作曲,sakkyoku
楽曲,gakkyoku
名曲,meikyoku
刑事,keiji
死刑,shikei
刑務所,keimusho
血液,ketsueki
血糖,kettou
血管,kekkan
事件,jiken
条件,jouken
案件,anken
交換,koukan
交流,kouryuu
交通,koutsuu
観光,kankou
光景,koukei
太陽光,taiyoukou
向け,muke
方向,houkou
傾向,keikou
皇后,kougou
好き,suki
大好き,daisuki
好み,konomi
江戸,edo
堀江,horie
江戸城,edojou
考え,kangae
考える,kangaeru
参考,sankou
行く,iku
行き,iki
行動,koudou
場合,baai
合わせ,awase
試合,shiai
再生,saisei
再び,futatabi
再度,saido
現在,genzai
存在,sonzai
滞在,taizai
趣旨,shushi
旨み,umami
要旨,youshi
死ぬ,shinu
必死,hisshi
死亡,shibou
毛糸,keito
糸口,itoguchi
抜糸,basshi
至る,itaru
至り,itari
至福,shifuku
文字,moji
数字,suuji
漢字,kanji
お寺,otera
寺院,jiin
寺社,jisha
次に,tsugini
次回,jikai
次第,shidai
耳鳴り,miminari
耳障り,mimizawari
耳鼻,jibi
自分,jibun
自身,jishin
自然,shizen
形式,keishiki
公式,koushiki
方式,houshiki
芝居,shibai
芝生,shibafu
紙芝居,kamishibai
守る,mamoru
守り,mori
保守,hoshu
朱雀,suzaku
朱色,shuiro
朱鳥,shuchou
九州,kyuushuu
欧州,oushuu
満州,manshuu
小舟,kobune
助け舟,tasukebune
舟運,shuuun
充実,juujitsu
充電,juuden
補充,hojuu
中旬,chuujun
下旬,gejun
上旬,joujun
巡り,meguri
巡る,meguru
巡回,junkai
如何,dou
如く,gotoku
突如,totsujo
師匠,shishou
巨匠,kyoshou
意匠,ishou
色々,iroiro
色んな,ironna
景色,keshiki
尽くし,zukushi
尽きる,tsukiru
尽くす,tsukusu
迅速,jinsoku
作成,sakusei
成功,seikou
成長,seichou
関西,kansai
西洋,seiyou
東西,touzai
舌鼓,shitatsuzumi
饒舌,jouzetsu
毒舌,dokuzetsu
先生,sensei
先日,senjitsu
先週,senshuu
全く,mattaku
全て,subete
全体,zentai
壮大,soudai
壮絶,souzetsu
強壮,kyousou
早く,hayaku
早い,hayai
早速,sassoku
戦争,sensou
競争,kyousou
争い,arasoi
存在,sonzai
保存,hozon
依存,izon
多く,ooku
多い,ooi
多分,tabun
自宅,jitaku
帰宅,kitaku
住宅,juutaku
団体,dantai
集団,shuudan
布団,futon
地域,chiiki
地球,chikyuu
地震,jishin
電池,denchi
乾電池,kandenchi
溜池,tameike
竹林,chikurin
竹の子,takenoko
爆竹,bakuchiku
仲間,nakama
仲良く,nakayoku
仲良し,nakayoshi
虫歯,mushiba
幼虫,youchuu
昆虫,konchuu
兆し,kizashi
兆候,choukou
前兆,zenchou
伝え,tsutae
伝統,dentou
伝える,tsutaeru
吐き気,hakike
吐く,tsuku
嘔吐,outo
点灯,tentou
電灯,dentou
灯台,toudai
本当に,hontouni
当時,touji
当然,touzen
同じ,onaji
同時に,doujini
同様,douyou
筋肉,kinniku
肉体,nikutai
皮肉,hiniku
責任,sekinin
任せ,makase
就任,shuunin
今年,kotoshi
年間,nenkan
昨年,sakunen
美肌,bihada
鳥肌,torihada
肌寒い,hadasamui
討伐,toubatsu
伐採,bassai
間伐,kanbatsu
帆走,hansou
帆立貝,hotategai
帆船,hansen
汎用,han'you
王妃,ouhi
百貨店,hyakkaten
八百屋,yaoya
百科,hyakka
伏線,fukusen
腕立て伏せ,udetatefuse
起伏,kifuku
米国,beikoku
欧米,oubei
北米,hokubei
忙しい,isogashii
多忙,tabou
大忙し,ooisogashi
素朴,soboku
朴訥,bokutotsu
毎日,mainichi
毎年,maitoshi
毎回,maikai
名前,namae
有名,yuumei
名古屋,nagoya
妄想,mousou
妄執,moushuu
迷妄,meimou
有名,yuumei
共有,kyouyuu
有効,yuukou
山羊,yagi
羊羹,youkan
羊歯,shida
官吏,kanri
両方,ryouhou
両親,ryoushin
車両,sharyou
列車,ressha
行列,gyouretsu
系列,keiretsu
劣化,rekka
劣る,otoru
劣等,rettou
老人,roujin
老化,rouka
海老,ebi
亜鉛,aen
東亜,toua
亜熱帯,anettai
位置,ichi
単位,tan'i
上位,joui
雰囲気,fun'iki
範囲,han'i
周囲,shuui
医療,iryou
医師,ishi
医者,isha
対応,taiou
一応,ichiou
反応,hannou
何とか,nantoka
何故,naze
何より,naniyori
花火,hanabi
花粉,kafun
花見,hanami
我々,wareware
我が家,wagaya
我慢,gaman
快適,kaiteki
不快,fukai
爽快,soukai
警戒,keikai
戒め,imashime
自戒,jikai
改善,kaizen
改めて,aratamete
改革,kaikaku
ムール貝,muurugai
貝殻,kaigara
貝塚,kaizuka
角度,kakudo
折角,sekkaku
三角,sankaku
完全,kanzen
完成,kansei
完了,kanryou
肝心,kanjin
肝臓,kanzou
肝炎,kan'en
含む,fukumu
含める,fukumeru
含み,fukumi
岐阜,gifu
分岐,bunki
多岐,taki
希望,kibou
希薄,kihaku
希少,kishou
周忌,shuuki
忌避,kihi
禁忌,kinki
汽車,kisha
汽笛,kiteki
汽船,kisen
技術,gijutsu
演技,engi
競技,kyougi
冷却,reikyaku
売却,baikyaku
返却,henkyaku
求め,motome
要求,youkyuu
求める,motomeru
研究,kenkyuu
研究所,kenkyuusho
究極,kyuukyoku
狂気,kyouki
熱狂,nekkyou
狂う,kuruu
結局,kekkyoku
当局,toukyoku
局長,kyokuchou
平均,heikin
均等,kintou
均一,kin'itsu
最近,saikin
近く,chikaku
近い,chikai
吟味,ginmi
吟行,ginkou
独吟,dokugin
串焼き,kushiyaki
串カツ,kushikatsu
串刺し,kushizashi
諸君,shokun
君たち,kimitachi
君主,kunshu
形式,keishiki
形態,keitai
形成,keisei
系列,keiretsu
体系,taikei
系統,keitou
芸術,geijutsu
文芸,bungei
芸人,geinin
迎え,mukae
歓迎,kangei
迎える,mukaeru
決め,kime
解決,kaiketsu
決定,kettei
見る,miru
見える,mieru
意見,iken
言う,iu
言葉,kotoba
言える,ieru
呉服,gofuku
坑夫,koufu
親孝行,oyakoukou
孝行,koukou
親不孝,oyafukou
抵抗,teikou
対抗,taikou
抗議,kougi
攻撃,kougeki
攻め,seme
攻略,kouryaku
変更,henkou
更新,koushin
更に,sarani
克服,kokufuku
克明,kokumei
相克,soukoku
広告,koukoku
報告,houkoku
警告,keikoku
谷間,tanima
谷川,tanigawa
渓谷,keikoku
困難,konnan
困る,komaru
貧困,hinkon
大佐,taisa
補佐,hosa
少佐,shousa
ご無沙汰,gobusata
沙汰,sata
音沙汰,otosata
被災,hisai
震災,shinsai
災害,saigai
素材,sozai
材料,zairyou
取材,shuzai
作品,sakuhin
作業,sagyou
作り,tsukuri
伺い,ukagai
伺う,ukagau
意志,ishi
志向,shikou
有志,yuushi
私的,shiteki
私立,shiritsu
私生活,shiseikatsu
真似,mane
似合う,niau
類似,ruiji
児童,jidou
幼児,youji
育児,ikuji
会社,kaisha
社会,shakai
社長,shachou
自転車,jitensha
電車,densha
駐車,chuusha
寿司,sushi
寿命,jumyou
恵比寿,ebisu
優秀,yuushuu
秀逸,shuuitsu
最優秀,saiyuushuu
住宅,juutaku
住民,juumin
住む,sumu
最初,saisho
初めて,hajimete
初期,shoki
助け,tasuke
補助,hojo
援助,enjo
秩序,chitsujo
序盤,joban
順序,junjo
起床,kishou
臨床,rinshou
床屋,tokoya
抄訳,shouyaku
抄出,shoushutsu
抄本,shouhon
肖像,shouzou
不肖,fushou
肖る,ayakaru
条件,jouken
条約,jouyaku
条例,jourei
状態,joutai
状況,joukyou
現状,genjou
伸び,nobi
伸びる,nobiru
伸ばす,nobasu
大臣,daijin
家臣,kashin
忠臣蔵,chuushingura
芯地,shinji
自身,jishin
身体,shintai
中身,nakami
辛い,karai
辛く,tsuraku
唐辛子,tougarashi
意図,ito
地図,chizu
図書館,toshokan
吹き,fuki
吹く,fuku
吹奏楽,suisougaku
小杉,kosugi
杉林,sugibayashi
糸杉,itosugi
音声,onsei
歌声,utagoe
声明,seimei
赤い,akai
赤ちゃん,akachan
赤字,akaji
折れ,ore
時折,tokiori
折角,sekkaku
走り,hashiri
走る,hashiru
走行,soukou
即座,sokuza
即興,sokkyou
即ち,sunawachi
約束,yakusoku
収束,shuusoku
拘束,kousoku
満足,manzoku
不足,fusoku
足し,tashi
市町村,shichouson
農村,nouson
村人,murabito
ご無沙汰,gobusata
淘汰,touta
沙汰,sata
妥当,datou
妥協,dakyou
対応,taiou
に対して,nitaishite
に対する,nitaisuru
全体,zentai
自体,jitai
体験,taiken
選択,sentaku
選択肢,sentakushi
採択,saitaku
沢山,takusan
贅沢,zeitaku
光沢,koutaku
但し,tadashi
但し書き,tadashigaki
男性,dansei
男子,danshi
男の子,otokonoko
沖縄,okinawa
沖合,okiai
沖積,chuuseki
町内,chounai
市町村,shichouson
町並み,machinami
沈黙,chinmoku
沈む,shizumu
沈没,chinbotsu
低い,hikui
低下,teika
最低,saitei
露呈,rotei
贈呈,zoutei
呈する,teisuru
法廷,houtei
宮廷,kyuutei
朝廷,choutei
兄弟,kyoudai
弟子,deshi
従兄弟,itoko
努力,doryoku
努める,tsutomeru
投稿,toukou
投資,toushi
投票,touhyou
豆腐,toufu
大豆,daizu
納豆,nattou
旦那,danna
刹那,setsuna
若旦那,wakadanna
糖尿,tounyou
尿道,nyoudou
泌尿器,hinyouki
妊娠,ninshin
妊婦,ninpu
避妊,hinin
忍耐,nintai
忍者,ninja
忍び,shinobi
把握,haaku
大雑把,oozappa
十把一絡げ,jippahitokarage
販売,hanbai
発売,hatsubai
売り,uri
伯父,oji
伯母,oba
伯爵,hakushaku
蕎麦,soba
小麦粉,komugiko
小麦,komugi
抜き,nuki
抜群,batsugun
抜粋,bassui
伴う,tomonau
伴い,tomonai
伴奏,bansou
判断,handan
批判,hihan
評判,hyouban
坂道,sakamichi
下り坂,kudarizaka
急坂,kyuuhan
大阪,oosaka
阪神,hanshin
京阪,keihan
否定,hitei
拒否,kyohi
賛否,sanpi
批判,hihan
批評,hihyou
批准,hijun
尻尾,shippo
尾根,one
末尾,matsubi
肩肘,katahiji
肘掛け,hijikake
扶助,fujo
扶養,fuyou
食い扶持,kuibuchi
兵器,heiki
核兵器,kakuheiki
兵士,heishi
特別,tokubetsu
別に,betsuni
別れ,wakare
繰り返し,kurikaeshi
返事,henji
返し,kaeshi
芳香,houkou
芳しい,kanbashii
芳醇,houjun
連邦,renpou
邦題,houdai
邦楽,hougaku
坊主,bouzu
赤ん坊,akanbou
寝坊,nebou
妨害,bougai
妨げ,samatage
妨げる,samatageru
忘れる,wasureru
忘年会,bounenkai
備忘録,bibouroku
予防,yobou
防止,boushi
防ぐ,fusegu
没頭,bottou
沈没,chinbotsu
水没,suibotsu
微妙,bimyou
奇妙,kimyou
絶妙,zetsumyou
鍛冶,kaji
刀鍛冶,katanakaji
冶金,yakin
役割,yakuwari
主役,shuyaku
現役,gen'eki
余裕,yoyuu
余計,yokei
余り,amari
妖精,yousei
妖怪,youkai
妖艶,youen
抑え,osae
抑える,osaeru
抑制,yokusei
肥沃,hiyoku
出来,shuttai
出来る,dekiru
来る,kuru
混乱,konran
乱れ,midare
乱暴,ranbou
産卵,sanran
卵白,ranpaku
卵巣,ransou
利用,riyou
便利,benri
利益,rieki
里親,satooya
里芋,satoimo
里山,satoyama
良い,yoi
良く,yoku
不良,furyou
冷蔵庫,reizouko
冷静,reisei
冷たい,tsumetai
励まし,hagemashi
奨励,shourei
励み,hagemi
戻る,modoru
戻り,modori
戻し,modoshi
風呂,furo
露天風呂,rotenburo
風呂敷,furoshiki
労働,roudou
苦労,kurou
疲労,hirou
翻弄,honrou
弄る,ijiru
弄り,ijiri
宛先,atesaki
宛名,atena
依頼,irai
依存,izon
依然として,izentoshite
委員,iin
委託,itaku
委ねる,yudaneru
教育,kyouiku
育て,sodate
保育園,hoikuen
梅雨,tsuyu
大雨,ooame
小雨,kosame
泳ぐ,oyogu
泳ぎ,oyogi
水泳,suiei
英語,eigo
英国,eikoku
英文,eibun
容易,youi
易い,yasui
難易,nan'i
延長,enchou
延期,enki
遅延,chien
沿い,zoi
沿岸,engan
海沿い,umizoi
炎症,enshou
炎上,enjou
肝炎,kan'en
往復,oufuku
往々,ouou
右往左往,uousaou
押し,oshi
押す,osu
押し付け,oshitsuke
旺盛,ousei
欧米,oubei
欧州,oushuu
西欧,seiou
殴る,naguru
殴り合い,naguriai
殴り込み,nagurikomi
福岡,fukuoka
静岡,shizuoka
長岡京,nagaokakyou
佳境,kakyou
佳作,kasaku
佳品,kahin
価格,kakaku
価値,kachi
評価,hyouka
結果,kekka
効果,kouka
成果,seika
銀河,ginga
運河,unga
河川,kasen
苛立ち,iradachi
苛め,ijime
苛烈,karetsu
映画,eiga
画面,gamen
画像,gazou
芽生え,mebae
発芽,hatsuga
木の芽,kinome
怪我,kega
怪しい,ayashii
怪獣,kaijuu
誘拐,yuukai
弾劾,dangai
拡大,kakudai
拡張,kakuchou
拡散,kakusan
学校,gakkou
大学,daigaku
学生,gakusei
山岳,sangaku
富岳,fugaku
官僚,kanryou
長官,choukan
警官,keikan
海岸,kaigan
沿岸,engan
彼岸,higan
岩場,iwaba
岩盤,ganban
岩石,ganseki
玩具,omocha
愛玩,aigan
奇跡,kiseki
奇妙,kimyou
好奇,kouki
祈り,inori
祈る,inoru
お祈り,oinori
季節,kisetsu
季語,kigo
四季,shiki
宜しく,yoroshiku
適宜,tekigi
宜しい,yoroshii
泣き,naki
泣く,naku
泣ける,nakeru
居る,iru
居住,kyojuu
居酒屋,izakaya
拒否,kyohi
拒絶,kyozetsu
拒む,kobamu
拒む,kobamu
証拠,shouko
根拠,konkyo
拠点,kyoten
東京,toukyou
京都,kyouto
北京,pekin
享受,kyouju
享楽,kyouraku
享年,kyounen
子供,kodomo
提供,teikyou
供給,kyoukyuu
協力,kyouryoku
協会,kyoukai
協議,kyougi
状況,joukyou
不況,fukyou
近況,kinkyou
お金,okane
料金,ryoukin
金融,kin'yuu
苦手,nigate
苦労,kurou
苦笑,kushou
具体,gutai
具合,guai
道具,dougu
空気,kuuki
空間,kuukan
空港,kuukou
退屈,taikutsu
理屈,rikutsu
窮屈,kyuukutsu
直径,chokkei
半径,hankei
口径,koukei
歯茎,haguki
包茎,houkei
陰茎,inkei
証券,shouken
馬券,baken
債券,saiken
肩こり,katakori
肩書き,katagaki
右肩,migikata
管弦楽,kangengaku
弦楽,gengaku
弦楽器,gengakki
呼ぶ,yobu
呼吸,kokyuu
呼び,yobi
固定,kotei
固め,katame
固有,koyuu
股間,kokan
股関節,kokansetsu
股下,matashita
虎視眈々,koshitantan
虎の尾,toranoo
竜虎,ryuuko
効果,kouka
有効,yuukou
効率,kouritsu
幸せ,shiawase
幸い,saiwai
幸福,koufuku
拘束,kousoku
拘り,kodawari
拘る,kodawaru
肯定,koutei
首肯,shukou
深刻,shinkoku
時刻,jikoku
遅刻,chikoku
中国,chuugoku
米国,beikoku
国民,kokumin
昆布,konbu
昆虫,konchuu
夫妻,fusai
妻子,saishi
人妻,hitozuma
喝采,kassai
采配,saihai
風采,fuusai
印刷,insatsu
印刷物,insatsubutsu
刷新,sasshin
刹那,setsuna
古刹,kosatsu
名刹,meisatsu
参加,sanka
参考,sankou
参照,sanshou
使用,shiyou
使う,tsukau
使い,tsukai
刺激,shigeki
名刺,meishi
刺身,sashimi
始め,hajime
開始,kaishi
始める,hajimeru
姉さん,neesan
姉妹,shimai
姉ちゃん,neechan
枝豆,edamame
枝葉,shiyou
枯れ枝,kareeda
福祉,fukushi
選択肢,sentakushi
